CVE,pairs,exposed_past_disclosure,burden_disclosure,exposed_past_release,burden_release,median_delay_disclosure,burden_per_pair,class,pattern,severity,dependents,% of total burden
CVE-2021-36090,56,56,3336.0191666666665,56,3515.9133333333334,26.10755787037037,59.57177083333333,Silent,S1,Medium,303,0.93
CVE-2021-3642,2,2,403.19577546296296,2,446.1816319444444,201.59788773148148,201.59788773148148,Transparent,T1,Low,12,0.11
CVE-2021-37714,39,34,2430.665983796296,39,2514.0675462962963,13.46570601851852,62.324768815289644,Transparent,T1,Medium,244,0.67
CVE-2021-38153,18,18,1942.241875,18,2149.927291666667,107.7005787037037,107.90232638888888,Transparent,T1,Medium,144,0.54
CVE-2021-39139,20,20,779.3278703703704,20,787.6926851851852,6.065069444444444,38.96639351851852,Silent,S1,Medium,179,0.22
CVE-2021-39140,20,20,801.118900462963,20,809.4837152777778,8.665167824074075,40.05594502314815,Silent,S1,Medium,179,0.22
CVE-2021-39141,20,20,759.0634953703703,20,767.4283101851852,6.065069444444444,37.953174768518515,Silent,S1,Medium,179,0.21
CVE-2021-39147,20,20,759.0634953703703,20,767.4283101851852,6.065069444444444,37.953174768518515,Silent,S1,Medium,179,0.21
CVE-2021-39148,20,20,779.3278703703704,20,787.6926851851852,6.065069444444444,38.96639351851852,Silent,S1,Medium,179,0.22
CVE-2021-39149,20,20,759.0634953703704,20,767.4283101851852,6.065069444444444,37.95317476851852,Silent,S1,Medium,179,0.21
CVE-2021-39151,20,20,801.118900462963,20,809.4837152777778,8.665167824074075,40.05594502314815,Silent,S1,Medium,179,0.22
CVE-2021-39152,20,20,779.3278703703704,20,787.6926851851852,6.065069444444444,38.96639351851852,Silent,S1,Medium,179,0.22
CVE-2021-39153,20,20,801.1187962962963,20,809.4836111111111,8.665167824074075,40.05593981481481,Silent,S1,Medium,179,0.22
CVE-2021-41269,2,2,10.40320601851852,2,10.516770833333332,5.20160300925926,5.20160300925926,Transparent,T1,Medium,25,0.0
CVE-2021-43859,6,6,74.07873842592592,6,87.63589120370371,0.33625,12.346456404320987,Silent,S1,Medium,169,0.02
CVE-2022-0839,7,3,48.96754629629629,7,85.20690972222222,-9.259733796296295,6.995363756613756,Transparent,T1,High,37,0.01
CVE-2022-21724,8,8,342.2525694444445,8,346.9904398148148,38.9165625,42.78157118055556,Silent,S1,High,200,0.09
CVE-2022-23221,12,10,154.79004629629628,11,171.63849537037038,2.9810474537037037,12.899170524691357,Transparent,T1,Critical,34,0.04
