CVE,upstream_GA,downstream_GA,downstream_repo,class,pattern,stage,after_disclosure,delay_fix,delay_release,delay_disclosure,delay_report
CVE-2016-1000339,org.bouncycastle:bcprov-jdk15on,net.sf.openas2:openas2-server,OpenAS2/OpenAs2App,Silent,S1,After disclosure,1,580.3508449074075,528.1156828703704,0.7616087962962963,
CVE-2016-1000339,org.bouncycastle:bcprov-jdk15on,io.netty:netty-example,netty/netty,Silent,S1,After disclosure,1,1522.3612731481485,1470.1261111111112,942.7720370370372,
CVE-2016-1000339,org.bouncycastle:bcprov-jdk15on,org.smallmind:smallmind-nutsnbolts,zenbones/SmallMind,Silent,S1,After disclosure,1,903.4377199074074,851.2025578703704,323.8484837962963,
CVE-2016-1000339,org.bouncycastle:bcprov-jdk15on,org.digidoc4j:digidoc4j,open-eid/digidoc4j,Silent,S1,Safe window,0,469.9675462962963,417.7323842592593,-109.6216898148148,
CVE-2016-1000339,org.bouncycastle:bcprov-jdk15on,de.alpharogroup:crypt-core,astrapi69/mystic-crypt,Silent,S1,Safe window,0,431.11322916666666,378.8780671296296,-148.47600694444444,
CVE-2020-1951,org.apache.tika:tika-parsers,com.digitalpebble.stormcrawler:storm-crawler-tika,DigitalPebble/storm-crawler,Silent,S1,After disclosure,1,100.03881944444444,84.01983796296297,72.60422453703704,
CVE-2020-1951,org.apache.tika:tika-parsers,org.codelibs.fess:fess-crawler,codelibs/fess-crawler,Silent,S1,After disclosure,1,82.81421296296297,66.79523148148148,55.379618055555554,
CVE-2020-1951,org.apache.tika:tika-parsers,org.craftercms:crafter-search-elasticsearch,craftercms/search,Silent,S1,After disclosure,1,142.1694097222222,126.15042824074074,114.7348148148148,
CVE-2020-1951,org.apache.tika:tika-parsers,org.icij.extract:extract-lib,ICIJ/extract,Silent,S1,After disclosure,1,202.7869675925926,186.7679861111111,175.35237268518517,
CVE-2020-1951,org.apache.tika:tika-parsers,org.teamapps:universal-db,teamapps-org/universal-db,Silent,S1,After disclosure,1,122.02207175925926,106.00309027777776,94.58747685185185,
CVE-2021-21343,com.thoughtworks.xstream:xstream,org.pitest:pitest,hcoles/pitest,Silent,S1,After disclosure,1,83.45181712962963,80.43314814814815,71.44886574074074,
CVE-2021-21343,com.thoughtworks.xstream:xstream,org.broadleafcommerce:broadleaf-profile-web,BroadleafCommerce/BroadleafCommerce,Silent,S1,After disclosure,1,190.9017939814815,187.883125,178.8988425925926,
