upstream_GA,CVEs,dependents,% of all exposure,cumulative %
org.apache.sling:org.apache.sling.servlets.post,2,2,0.0,99.8
org.apache.tomcat:tomcat-websocket,1,2,0.0,99.8
net.sf.mpxj:mpxj,1,2,0.0,99.8
org.bouncycastle:bctls-jdk15on,1,2,0.0,99.8
io.micronaut:micronaut-http-netty,1,2,0.0,99.8
org.jruby.jcodings:jcodings,1,2,0.0,99.8
org.fusesource.hawtjni:hawtjni-runtime,1,2,0.0,99.8
org.kohsuke.stapler:stapler,1,2,0.0,99.8
org.neo4j.app:neo4j-server,1,2,0.0,99.8
org.jboss.ironjacamar:ironjacamar-deployers-common,1,2,0.0,99.8
org.apache.camel:camel-jackson,1,2,0.0,99.8
org.wso2.transport.http:org.wso2.transport.http.netty,1,2,0.0,99.8
tomcat:tomcat-http11,1,2,0.0,99.8
com.vaadin:vaadin-compatibility-server,1,2,0.0,99.8
org.apache.cxf:cxf-rt-rs-security-oauth2,2,2,0.0,99.8
org.wildfly:wildfly-naming-client,1,2,0.0,99.8
org.igniterealtime.smack:smack-tcp,1,2,0.0,99.8
org.springframework.cloud:spring-cloud-gateway-server,1,1,0.0,99.8
org.uberfire:uberfire-server,1,1,0.0,99.8
org.springframework.cloud:spring-cloud-openfeign-core,1,1,0.0,99.8
ro.pippo:pippo-jaxb,1,1,0.0,99.8
ca.uhn.hapi.fhir:hapi-fhir-jpaserver-api,1,1,0.0,99.8
org.picketlink:picketlink-tomcat-common,1,1,0.0,99.8
org.apache.drill.exec:drill-java-exec,1,1,0.0,99.8
org.apache.pdfbox:fontbox,1,1,0.0,99.8
org.apache.nifi:nifi-web-security,1,1,0.0,99.8
org.apache.mina:mina-http,1,1,0.0,99.8
org.apache.karaf.shell:org.apache.karaf.shell.core,1,1,0.0,99.8
org.apache.hbase:hbase-rest,1,1,0.0,99.8
org.apache.hadoop:hadoop-yarn-server-nodemanager,1,1,0.0,99.8
org.apache.guacamole:guacamole-common,1,1,0.0,99.8
org.apache.druid:druid-core,1,1,0.0,99.8
org.apache.cxf:cxf-rt-rs-security-jose,1,1,0.0,99.8
org.pac4j:pac4j-saml,1,1,0.0,99.8
org.apache.cxf.services.sts:cxf-services-sts-core,1,1,0.0,99.8
org.apache.camel:camel-snakeyaml,1,1,0.0,99.8
org.apache.activemq:apollo-selector,1,1,0.0,99.8
org.apache.activemq:activemq-core,1,1,0.0,99.8
org.apache-extras.beanshell:bsh,1,1,0.0,99.8
io.atomix:atomix-storage,1,1,0.0,99.8
com.typesafe.play:play-java-forms_2.11,1,1,0.0,99.8
com.rabbitmq.jms:rabbitmq-jms,1,1,0.0,99.8
org.apache.pdfbox:jempbox,1,1,0.0,99.8
org.apache.pulsar:pulsar-broker-common,1,1,0.0,99.8
org.apache.qpid:qpid-broker-plugins-amqp-0-8-protocol,1,1,0.0,99.8
org.apache.solr:solr-velocity,1,1,0.0,99.8
org.pac4j:pac4j-oidc,1,1,0.0,99.8
org.kohsuke:groovy-sandbox,1,1,0.0,99.8
org.keycloak:keycloak-model-jpa,1,1,0.0,99.8
org.jvnet.hudson.plugins:pmd,1,1,0.0,99.8
org.jruby:jruby-core,1,1,0.0,99.8
org.jboss.weld:weld-core-impl,1,1,0.0,99.8
org.jasig.cas:cas-server-support-ldap,1,1,0.0,99.8
org.infinispan:infinispan-server-runtime,1,1,0.0,99.8
org.infinispan.server:infinispan-server-endpoints,1,1,0.0,99.8
org.idpf:epubcheck,1,1,0.0,99.8
org.hornetq:hornetq-selector,1,1,0.0,99.8
org.drools:drools-workbench-models-test-scenarios,1,1,0.0,99.8
org.apache.xmlgraphics:batik-svgrasterizer,1,1,0.0,99.8
org.apache.xmlgraphics:batik-svgbrowser,1,1,0.0,99.8
org.apache.tika:tika-app,1,1,0.0,99.8
org.apache.storm:storm-server,1,1,0.0,99.8
org.apache.spark:spark-network-common_2.11,1,1,0.0,99.8
org.apache.sling:org.apache.sling.jcr.contentloader,1,1,0.0,99.8
