CVE_ID,G:A:V,downstream_GA
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.psi-probe:psi-probe-core
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.qinhouping:qinsoft-common
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.rebue.wheel:wheel-core
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.sdcxy:third-party-platform
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.sdcxy:third-party-platform-wechat
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.sdp-tech-nj:sdp-spring-boot-starter
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.sdp-tech-nj:sesp-dev-plugins
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.siwenyan:common
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.spotbugs:sonar-findbugs-plugin
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.vindell:shiro-biz
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.yiding-he:hydrogen-dao-mate
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.zhangchunsheng:amap-java-common
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.zhangchunsheng:amap-java-geo
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.zhangchunsheng:amap-java-place
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.zhangchunsheng:anran-java-common
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.zhangchunsheng:anran-java-dingtalk
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.zhangchunsheng:anran-java-energy
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.zhangchunsheng:hubble-java-common
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.zhangchunsheng:hubble-java-region
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.zhangchunsheng:mangix-java-authentication
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.zhangchunsheng:mangix-java-common
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.github.zhangchunsheng:mangix-java-perms
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.imsweb:algorithms
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.imsweb:layout
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.imsweb:naaccr-xml
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.imsweb:seerdata-utility
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.imsweb:validation
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.imsweb:x12-parser
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.iussoft:iussoft-api
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.iussoft:iussoft-cache
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.iussoft:iussoft-client
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.iussoft:iussoft-common-ius
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.iussoft:iussoft-common-plugins
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.iussoft:iussoft-common-portal
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.iussoft:iussoft-component
CVE-2021-39154,com.thoughtworks.xstream:xstream:1.4.11.1,com.iussoft:iussoft-core
