CVE,UPSTREAM G:A:V,DOWNSTREAM G:A:V,DOWNSTREAM REPO,COMMIT,COMMIT_DATE,COMMIT_DATE_ERROR,GITHUB_REPO_PARSED,COMMIT_SHA_PARSED,COMMIT_URL_PARSED
CVE-2018-8027,org.apache.camel:camel-core,org.talend.camel:camel-talendjob,Talend/tesb-rt-se,https://github.com/Talend/tesb-rt-se/commit/0b9dcdc67f5bd94a8a04bc8cbad0f8f3892a0aed,,404_not_found,Talend/tesb-rt-se,0b9dcdc67f5bd94a8a04bc8cbad0f8f3892a0aed,https://github.com/Talend/tesb-rt-se/commit/0b9dcdc67f5bd94a8a04bc8cbad0f8f3892a0aed
CVE-2016-3092,commons-fileupload:commons-fileupload,com.groupon.odo:proxylib,groupon/odo,https://github.com/groupon/odo/commit/f8b0f003c31b16acd3a40c62bc6c810bee35e4c6,,404_not_found,groupon/odo,f8b0f003c31b16acd3a40c62bc6c810bee35e4c6,https://github.com/groupon/odo/commit/f8b0f003c31b16acd3a40c62bc6c810bee35e4c6
CVE-2015-7521,org.apache.hive:hive-exec,jp.co.yahoo.dataplatform.mds:multiple-dimension-spread-hive,yahoojapan/multiple-dimension-spread,https://github.com/yahoojapan/multiple-dimension-spread/commit/d639a73256bf66518294c67bc76f30d09ccc8b1f,,404_not_found,yahoojapan/multiple-dimension-spread,d639a73256bf66518294c67bc76f30d09ccc8b1f,https://github.com/yahoojapan/multiple-dimension-spread/commit/d639a73256bf66518294c67bc76f30d09ccc8b1f
CVE-2015-0264,org.apache.camel:camel-core,org.talend.camel:camel-talendjob,Talend/tesb-rt-se,https://github.com/Talend/tesb-rt-se/commit/82dfdea28333646b26c071726a0fc2445162863e,,404_not_found,Talend/tesb-rt-se,82dfdea28333646b26c071726a0fc2445162863e,https://github.com/Talend/tesb-rt-se/commit/82dfdea28333646b26c071726a0fc2445162863e
CVE-2020-13692,org.postgresql:postgresql,io.github.fslev:cucumber-utils,fslev/cucumber-utils,https://github.com/fslev/cucumber-utils/commit/cebf579895c9b721840e6e0922e904169d0531bb,,404_not_found,fslev/cucumber-utils,cebf579895c9b721840e6e0922e904169d0531bb,https://github.com/fslev/cucumber-utils/commit/cebf579895c9b721840e6e0922e904169d0531bb
CVE-2018-7489,com.fasterxml.jackson.core:jackson-databind,com.networknt:eventuate-kafka,networknt/light-eventuate-4j,https://github.com/networknt/light-eventuate-4j/commit/653a96abd7722da253e7c81b34f37834c9cb68b2,,404_not_found,networknt/light-eventuate-4j,653a96abd7722da253e7c81b34f37834c9cb68b2,https://github.com/networknt/light-eventuate-4j/commit/653a96abd7722da253e7c81b34f37834c9cb68b2
CVE-2018-7489,com.fasterxml.jackson.core:jackson-databind,com.networknt:eventuate-kafka,networknt/light-eventuate-4j,https://github.com/networknt/light-eventuate-4j/commit/653a96abd7722da253e7c81b34f37834c9cb68b2,,404_not_found,networknt/light-eventuate-4j,653a96abd7722da253e7c81b34f37834c9cb68b2,https://github.com/networknt/light-eventuate-4j/commit/653a96abd7722da253e7c81b34f37834c9cb68b2
CVE-2018-7489,com.fasterxml.jackson.core:jackson-databind,com.networknt:eventuate-kafka,networknt/light-eventuate-4j,https://github.com/networknt/light-eventuate-4j/commit/653a96abd7722da253e7c81b34f37834c9cb68b2,,404_not_found,networknt/light-eventuate-4j,653a96abd7722da253e7c81b34f37834c9cb68b2,https://github.com/networknt/light-eventuate-4j/commit/653a96abd7722da253e7c81b34f37834c9cb68b2
CVE-2020-10719,io.undertow:undertow-core,org.minijax:minijax-undertow-websocket,minijax/minijax,https://github.com/minijax/minijax/commit/bd0e10a3b972c7af6e6f2721f3337c7a2179d6ab,,404_not_found,minijax/minijax,bd0e10a3b972c7af6e6f2721f3337c7a2179d6ab,https://github.com/minijax/minijax/commit/bd0e10a3b972c7af6e6f2721f3337c7a2179d6ab
CVE-2020-10719,io.undertow:undertow-core,com.networknt:eventuate-cdc-service,networknt/light-eventuate-4j,https://github.com/networknt/light-eventuate-4j/commit/9b6cf59c82b1a9c9c565c029640e3efdb5eaa9b3,,404_not_found,networknt/light-eventuate-4j,9b6cf59c82b1a9c9c565c029640e3efdb5eaa9b3,https://github.com/networknt/light-eventuate-4j/commit/9b6cf59c82b1a9c9c565c029640e3efdb5eaa9b3
CVE-2018-20433,com.mchange:c3p0,net.centro.rtb:monitoring-center,centro/monitoring-center,https://github.com/centro/monitoring-center/commit/7524d36e5111fe42435a7fd29ba64b247b866b58,,404_not_found,centro/monitoring-center,7524d36e5111fe42435a7fd29ba64b247b866b58,https://github.com/centro/monitoring-center/commit/7524d36e5111fe42435a7fd29ba64b247b866b58
CVE-2018-20433,com.mchange:c3p0,net.centro.rtb:monitoring-center,centro/monitoring-center,https://github.com/centro/monitoring-center/commit/7524d36e5111fe42435a7fd29ba64b247b866b58,,404_not_found,centro/monitoring-center,7524d36e5111fe42435a7fd29ba64b247b866b58,https://github.com/centro/monitoring-center/commit/7524d36e5111fe42435a7fd29ba64b247b866b58
CVE-2018-1320,org.apache.thrift:libthrift,com.workiva:frugal,Workiva/frugal,https://github.com/Workiva/frugal/commit/a348b69254cae27cfe4f856e8d58d2bb13827125,,404_not_found,Workiva/frugal,a348b69254cae27cfe4f856e8d58d2bb13827125,https://github.com/Workiva/frugal/commit/a348b69254cae27cfe4f856e8d58d2bb13827125
